Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
MARBLE BAR ASSET MANAGEMENT LLP,FINNAIR OYJ,FI0009003230,0.77,09/14/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,KOJAMO OYJ,FI4000312251,0.53,09/14/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.61,09/12/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.77,09/11/2023
MILLENNIUM CAPITAL MANAGEMENT FRANCE SAS,OUTOKUMPU OYJ,FI0009002422,0.79,09/11/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.8,09/08/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.19,09/08/2023
AKO CAPITAL LLP,QT GROUP,FI4000198031,0.89,09/07/2023
MILLENNIUM CAPITAL PARTNERS LLP,NOKIAN RENKAAT OYJ,FI0009005318,0.54,09/06/2023
AKO CAPITAL LLP,QT GROUP,FI4000198031,1.09,09/06/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.63,09/05/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.23,09/01/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.55,09/01/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,ORIOLA OYJ,FI0009014351,0.0,08/31/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.78,08/31/2023
MARBLE BAR ASSET MANAGEMENT LLP,CITYCON OYJ,FI4000369947,0.58,08/31/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,ORIOLA OYJ,FI0009014351,0.53,08/30/2023
ELEVA CAPITAL SAS,QT GROUP OYJ,FI4000198031,0.54,08/30/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.9,08/29/2023
BOUSSARD & GAVAUDAN PARTNERS LIMITED,OUTOKUMPU OYJ,FI0009002422,0.48,08/25/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.85,08/24/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.19,08/22/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.89,08/22/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.79,08/17/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.8,08/16/2023
MARSHALL WACE LLP,NOKIA OYJ,FI0009000681,0.5,08/09/2023
"ARROWSTREET CAPITAL, L.P.",METSO OYJ,FI0009014575,0.5,08/02/2023
MARBLE BAR ASSET MANAGEMENT LLP,CITYCON OYJ,FI4000369947,0.6,07/31/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.29,07/28/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.99,07/27/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.48,07/24/2023
PANTECHNICON ADVISORS LLP,OUTOKUMPU OYJ,FI0009002422,0.75,07/24/2023
JPMORGAN ASSET MANAGEMENT (UK) LTD,F-SECURE OYJ,FI4000519236,0.48,07/21/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.08,07/21/2023
MARBLE BAR ASSET MANAGEMENT LLP,CITYCON OYJ,FI4000369947,0.59,07/20/2023
JPMORGAN ASSET MANAGEMENT (UK) LTD,F-SECURE OYJ,FI4000519236,0.5,07/20/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.53,07/18/2023
AKO CAPITAL LLP,HUHTAMÄKI OYJ,FI0009000459,0.83,07/17/2023
JPMORGAN ASSET MANAGEMENT (UK) LTD,WITHSECURE OYJ,FI4000519228,0.48,07/13/2023
JPMORGAN ASSET MANAGEMENT (UK) LTD,WITHSECURE OYJ,FI4000519228,0.62,07/12/2023
MARBLE BAR ASSET MANAGEMENT LLP,CITYCON OYJ,FI4000369947,0.66,07/12/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.18,07/11/2023
MARBLE BAR ASSET MANAGEMENT LLP,CITYCON OYJ,FI4000369947,0.53,07/10/2023
JPMORGAN ASSET MANAGEMENT (UK) LTD,F-SECURE OYJ,FI4000519236,0.6,07/05/2023
JPMORGAN ASSET MANAGEMENT (UK) LTD,WITHSECURE OYJ,FI4000519228,0.82,07/05/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.29,06/29/2023
MILLENNIUM CAPITAL MANAGEMENT FRANCE SAS,OUTOKUMPU OYJ,FI0009002422,0.83,06/28/2023
B&G MASTER FUND PLC,OUTOKUMPU OYJ,FI0009002422,0.55,06/28/2023
AKO CAPITAL LLP,HUHTAMAKI OYJ,FI0009000459,0.99,06/28/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.38,06/26/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.39,06/22/2023
JPMORGAN ASSET MANAGEMENT (UK) LTD,F-SECURE OYJ,FI4000519236,0.5,06/21/2023
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.81,06/21/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.48,06/16/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.49,06/14/2023
MILLENNIUM INTERNATIONAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.52,06/13/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,QT GROUP OYJ,FI4000198031,0.48,06/12/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.55,06/12/2023
B&G MASTER FUND PLC,OUTOKUMPU OYJ,FI0009002422,0.89,06/08/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.4,06/07/2023
QUBE RESEARCH & TECHNOLOGIES LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.68,06/02/2023
CANADA PENSION PLAN INVESTMENT BOARD,ELISA OYJ,FI0009007884,0.79,06/01/2023
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,3.37,05/31/2023
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT,FI0009005318,0.48,05/30/2023
