Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.4,31/08/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.39,06/09/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.4,08/09/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.51,09/09/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.48,14/09/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.52,22/09/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.46,27/09/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.51,10/10/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.77,13/10/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.84,14/10/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,1.9,18/10/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,2.04,21/10/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,2.13,26/10/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,2.21,27/10/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,2.34,04/11/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,2.47,07/11/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,2.57,08/11/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,2.64,09/11/2016
Sculptor Capital Management Europe Limited,549300I3U59T2U620T86,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,0.01,15/11/2016
TRS Texas,UVCP0ONBRH8AI9HEYC97,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,0.61,20/12/2024
TRS Texas,UVCP0ONBRH8AI9HEYC97,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,0.71,24/01/2025
TRS Texas,UVCP0ONBRH8AI9HEYC97,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,0.56,14/03/2025
TRS Texas,UVCP0ONBRH8AI9HEYC97,TELECOM ITALIA SPA,549300W384M3RI3VXU42,IT0003497168,0.39,19/03/2025
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,19/06/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,22/06/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,29/09/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,13/10/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,09/11/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,11/11/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.71,12/11/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.8,13/11/2015
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.91,05/02/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.89,22/04/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.9,19/05/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.0,13/07/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.98,14/07/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.0,22/07/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.1,15/09/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.2,20/10/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.32,11/11/2016
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.4,28/03/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.5,22/08/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.6,01/09/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.72,19/09/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.8,22/09/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.9,02/10/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,2.0,06/10/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,2.1,17/10/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,2.09,30/11/2017
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.99,18/01/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.89,15/03/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.91,20/03/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,2.0,18/04/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.99,19/04/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.89,14/05/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.79,12/06/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.68,28/06/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.59,16/07/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.49,03/08/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.39,22/08/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.29,07/09/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.19,02/10/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.2,04/10/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.19,09/10/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.2,11/10/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.18,16/10/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.2,05/11/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.19,26/11/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.2,27/11/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.18,12/12/2018
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.09,08/01/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.99,16/01/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.89,02/04/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.79,29/04/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.8,09/05/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.91,23/05/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.89,10/07/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.79,29/08/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,22/10/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.57,04/11/2019
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,02/12/2019
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.52,28/07/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.65,30/07/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,31/07/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,03/08/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,21/08/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.64,03/09/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.59,28/09/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,30/09/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.59,02/10/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,13/10/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.56,27/10/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.48,30/10/2020
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,29/08/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,31/08/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.52,06/09/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,15/09/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.53,02/10/2023
Citadel Advisors LLC,549300SHI4D0QGWI8X45,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,03/10/2023
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.51,10/09/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.62,06/10/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,13/10/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,20/10/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,21/10/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,23/10/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.53,04/11/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,12/11/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.56,13/11/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.44,16/11/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.55,21/12/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.63,23/12/2020
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.71,05/01/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.68,08/01/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.71,12/01/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,15/01/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.59,17/02/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.61,18/02/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.59,19/02/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,23/02/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.56,25/02/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.43,01/03/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,20/07/2021
Citadel Europe LLP,549300PHOSNJ06CIW990,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.46,08/10/2021
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,11/08/2017
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,04/10/2017
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,23/10/2017
Jupiter Investment Management Limited,5493006XRZFHF1KWTY04,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,09/11/2017
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.61,09/03/2020
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.47,23/09/2020
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.53,06/10/2020
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.47,07/10/2020
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.54,08/10/2020
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.61,16/10/2020
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.57,26/03/2021
LONE PINE CAPITAL LLC,Y64HK18CMXIV6KGY3S63,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.4,31/03/2021
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.51,24/06/2016
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.61,28/07/2016
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,11/08/2016
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,23/11/2016
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.44,23/12/2016
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,26/10/2018
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.47,20/11/2018
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.55,08/01/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.62,09/01/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.72,23/01/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.8,25/01/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.93,14/02/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.02,13/03/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.93,20/03/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.81,21/03/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,22/03/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.46,25/03/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.52,04/06/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,20/06/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.55,29/07/2019
"Luminus Management, LLC",,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.36,30/07/2019
"Luxor Capital Group, LP",549300SRNCM0FO1UR227,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.52,29/07/2021
"Luxor Capital Group, LP",549300SRNCM0FO1UR227,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.61,04/08/2021
"Luxor Capital Group, LP",549300SRNCM0FO1UR227,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.6,02/11/2021
"Luxor Capital Group, LP",549300SRNCM0FO1UR227,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,12/11/2021
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.51,11/12/2015
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,22/12/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.52,15/07/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.71,22/07/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.9,28/07/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.83,31/07/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.95,05/08/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.68,06/08/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.51,07/08/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.33,11/08/2015
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,06/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.61,07/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.71,08/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.66,10/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.7,14/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.66,15/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.74,17/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.68,28/06/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.57,14/07/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.61,20/07/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.59,21/07/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.49,28/07/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.52,01/08/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.45,03/08/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.5,23/08/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.63,08/09/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.71,09/09/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.91,20/09/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.88,03/10/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.79,11/10/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.82,13/10/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.92,17/10/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,1.0,19/10/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.93,02/11/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.83,03/11/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.76,10/11/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.69,15/11/2016
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,TENARIS SA,549300Y7C05BKC4HZB40,LU0156801721,0.58,21/11/2016
